,DATA_TIMESTAMP,Unnamed: 0,WMO_ID,NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,TEMPERATURE_AVG_C,TEMP_24H_TN_C,TEMP_24H_TX_C,RAINFALL_24H_MM
54,1981-02-24,54,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,30.5,12.7
55,1981-02-25,55,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.2,31.4,0.0
56,1981-02-26,56,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,31.4,5.7
57,1981-02-27,57,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.1,31.4,22.0
58,1981-02-28,58,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,30.8,56.9
59,1981-03-01,59,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.6,30.4,1.5
60,1981-03-02,60,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.5,30.6,14.0
61,1981-03-03,61,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,22.0,29.0,35.2
62,1981-03-04,62,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.2,30.7,0.0
63,1981-03-05,63,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,31.4,0.8
64,1981-03-06,64,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,22.9,31.1,0.0
65,1981-03-07,65,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,31.0,1.6
66,1981-03-08,66,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.5,32.4,0.0
67,1981-03-09,67,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.8,30.7,16.6
68,1981-03-10,68,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.4,31.1,20.6
69,1981-03-11,69,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.4,30.8,1.3
70,1981-03-12,70,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.3,31.1,0.0
71,1981-03-13,71,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.9,33.0,0.0
72,1981-03-14,72,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.5,33.4,0.0
73,1981-03-15,73,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,32.6,20.7
74,1981-03-16,74,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.2,31.0,0.0
75,1981-03-17,75,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.9,31.9,0.0
76,1981-03-18,76,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,22.9,33.4,23.7
77,1981-03-19,77,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,33.6,0.0
78,1981-03-20,78,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,34.0,3.4
79,1981-03-21,79,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,32.5,0.0
80,1981-03-22,80,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,34.0,84.5
81,1981-03-23,81,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,32.4,0.9
82,1981-03-24,82,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,32.3,0.0
83,1981-03-25,83,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,32.5,0.0
84,1981-03-26,84,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.3,33.1,38.6
85,1981-03-27,85,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,32.4,0.0
86,1981-03-28,86,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.2,31.4,2.7
87,1981-03-29,87,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.0,32.6,0.0
88,1981-03-30,88,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.1,32.4,0.0
89,1981-03-31,89,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,32.2,0.0
90,1981-04-01,90,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,33.5,0.2
91,1981-04-02,91,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.4,33.1,1.7
92,1981-04-03,92,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,31.6,1.3
93,1981-04-04,93,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,33.0,3.8
94,1981-04-05,94,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,33.8,26.0
95,1981-04-06,95,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,32.0,0.0
96,1981-04-07,96,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.0,32.4,2.9
97,1981-04-08,97,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,33.9,0.0
98,1981-04-09,98,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,32.3,1.4
99,1981-04-10,99,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.9,32.5,0.0
100,1981-04-11,100,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,32.1,13.2
101,1981-04-12,101,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,22.6,32.2,56.5
102,1981-04-13,102,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.3,32.5,0.0
103,1981-04-14,103,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,32.2,0.0
104,1981-04-15,104,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.6,32.2,0.0
105,1981-04-16,105,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.1,31.8,59.7
106,1981-04-17,106,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.3,33.2,0.0
107,1981-04-18,107,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.2,33.0,34.2
108,1981-04-19,108,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.6,33.1,0.0
109,1981-04-20,109,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.0,33.1,9.6
110,1981-04-21,110,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,29.8,6.5
111,1981-04-22,111,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.2,32.2,0.0
112,1981-04-23,112,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,33.0,0.0
113,1981-04-24,113,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,33.0,1.0
114,1981-04-25,114,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.5,32.6,25.6
115,1981-04-26,115,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.9,30.5,0.0
116,1981-04-27,116,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.9,30.0,0.0
117,1981-04-28,117,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.4,33.4,0.0
118,1981-04-29,118,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.5,33.9,36.3
119,1981-04-30,119,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.5,32.5,3.5
120,1981-05-01,120,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.5,29.7,1.9
121,1981-05-02,121,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,33.0,0.0
122,1981-05-03,122,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.4,32.6,9.9
123,1981-05-04,123,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.0,33.2,0.0
124,1981-05-05,124,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.7,33.0,0.0
125,1981-05-06,125,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,33.1,0.4
126,1981-05-07,126,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.4,32.4,24.2
127,1981-05-08,127,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.0,33.0,1.2
128,1981-05-09,128,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.1,33.0,19.5
