wmo_id,Stasiun,Lat,Lon
96949,Stasiun Geofisika Malang,-8.15,112.45
96973,Stasiun Meteorologi Trunojoyo,-7.03976,113.914
96975,Stasiun Geofisika Nganjuk,-7.73486,111.76682
96987,Stasiun Meteorologi Banyuwangi,-8.215,114.3553
97008,Stasiun Meteorologi Naha,3.68594,125.52881
97010,Stasiun Geofisika Manado,1.4434,124.8389
97012,Stasiun Klimatologi Sulawesi Utara,1.54585,124.9233
97014,Stasiun Meteorologi Sam Ratulangi,1.54575,124.9234
97016,Stasiun Meteorologi Maritim Bitung,1.4431,125.1797
97028,Stasiun Meteorologi Sultan Bantilan,1.12114,120.79433
97048,Stasiun Meteorologi Djalaluddin,0.6385,122.8525
97052,Stasiun Klimatologi Gorontalo,0.556,123.14
97072,Stasiun Meteorologi Mutiara Sis-Al Jufri,-0.91589,119.90554
97074,Stasiun Geofisika Palu,-0.90536,119.8367
97086,Stasiun Meteorologi Syukuran Aminudin Amir,-1.04064,122.771
97096,Stasiun Meteorologi Kasiguncu,-1.42038,120.65701
97120,Pos Meteorologi Majene,-3.55074,118.98054
97124,Stasiun Meteorologi Toraja,-3.04524,119.81885
97126,Stasiun Meteorologi Andi Jemma,-2.55472,120.32422
97142,Stasiun Meteorologi Sangia Ni Bandera,-4.18059,121.61077
97144,Stasiun Meteorologi Maritim Kendari,-3.9701,122.5895
97150,Stasiun Klimatologi Sulawesi Tenggara,-4.056,122.449
97180,Stasiun Meteorologi Sultan Hasanuddin,-5.07,119.55
97182,Stasiun Meteorologi Maritim Paotere,-5.11375,119.41983
97184,Stasiun Klimatologi Sulawesi Selatan,-4.9308,119.572
97186,Stasiun Geofisika Gowa,-5.218,119.47
97192,Stasiun Meteorologi Beto Ambari,-5.47,122.62
97230,Stasiun Meteorologi I Gusti Ngurah Rai ,-8.75,115.17
97232,Stasiun Geofisika Denpasar,-8.67689,115.21
97234,Pos Pengamatan Kahang-Kahang,-8.365,115.61083
97236,Stasiun Klimatologi Bali,-8.341,114.6176
97240,Stasiun Meteorologi Zainuddin Abdul Madjid,-8.75277,116.24982
97242,Stasiun Klimatologi Nusa Tenggara Barat,-8.63627,116.17094
97260,Stasiun Meteorologi Sultan Muhammad Kaharuddin,-8.48845,117.41336
97270,Stasiun Meteorologi Sultan Muhammad Salahuddin,-8.54279,118.6928
97282,Stasiun Meteorologi Komodo,-8.48673,119.88683
97284,Stasiun Meteorologi Frans Sales Lega,-8.63,120.45
97300,Stasiun Meteorologi Fransiskus Xaverius Seda,-8.63577,122.23752
97310,Stasiun Meteorologi Gewayantana,-8.2752,122.9986
